series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
deseas,2135,1986,0.06978922716627635,20.629640573906933,50.86516826582689,2.063487982927283,0.14105713457135993,214,1.0635734794843503,0.04028571819843744,697,0.7828249068502663,1.7983439664243954,104.63878130107324,346.0,0.0,1986.0,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,13.487510937263766
fill,4149,1870,0.5492889852976621,0.23849999904632568,20.749937575304184,0.5289499125858979,0.025965130000886988,415,0.2729293498743682,0.00983569103883847,770,1.6057543887594676,0.28793094759838667,0.0989999771118164,1198.0,0.0,1870.0,AUSDT,85769.52441,2450,4150,1.6938775510204083,
order,2449,1870,0.23642302980808494,0.23849999904632568,35.153732543869765,0.8203612204507662,0.05241095585807439,245,0.2692132922640198,0.009695479894838753,771,1.612041868561291,0.28793094759838667,0.0989999771118164,1198.0,0.0,1870.0,AUSDT,85769.52441,2450,4150,1.6938775510204083,
W0.1,1219,1219,0.0,1.0199999809265137,70.62468498764319,1.0941539275906427,0.09906004211977062,122,0.7701383152903915,0.0515722761009695,223,1.5972829595231886,,,,,,AUSDT,85769.52441,2450,4150,1.6938775510204083,
W1,740,740,0.0,25.007500052452087,116.33985270261765,1.305000876443934,0.151703270445222,74,1.2333228537840883,0.1278896223381175,93,1.5944702306580474,,,,,,AUSDT,85769.52441,2450,4150,1.6938775510204083,
W5,539,539,0.0,60.0,159.72447309821345,1.8999013532119138,0.25854382649958124,54,1.2389768100959553,0.12988006030736818,91,1.5956855547000883,,,,,,AUSDT,85769.52441,2450,4150,1.6938775510204083,
W30,383,383,0.0,91.98099994659424,224.7819608353448,2.0865943702926684,0.3384903040723252,38,1.2663931843112266,0.13900471073190931,83,1.5971989914832092,,,,,,AUSDT,85769.52441,2450,4150,1.6938775510204083,
deseas,2449,1870,0.23642302980808494,1.252720388111139,63.98738280093211,1.208725762538663,0.0772226563197634,245,0.3191732980480136,0.01149474555349612,771,1.886035245936938,1.1274465635869158,150.88084099783669,268.0,0.0,1870.0,AUSDT,85769.52441,2450,4150,1.6938775510204083,22.944152507093634
fill,2150,962,0.5525581395348838,12.440000057220459,40.01189534885939,1.4467527567668192,0.09866771907282736,215,0.12324598355910975,0.004651619891151413,702,0.8318296637408614,2.8661443436853604,336.96968434925714,78.0,0.84,962.0,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
order,1212,962,0.20627062706270627,12.440000057220459,70.97819719475882,1.9849017910469926,0.18044561736790843,121,0.8719492296761999,0.04728808639707066,340,0.7982463071524614,2.8661443436853604,336.96968434925714,78.0,0.81,962.0,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
W0.1,614,614,0.0,75.11099994182587,140.10679967434476,3.0010471273198216,0.3842447107136104,61,1.6088246423459942,0.1212697202758951,176,0.7882640316087535,,,,,,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
W1,589,589,0.0,81.78699994087219,146.05262988127757,2.9276178696108976,0.3811433822126424,59,1.6127301899945576,0.12156411200660282,176,0.7839841929661975,,,,,,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
W5,537,537,0.0,100.26900005340576,160.19552886419456,3.028186758764134,0.41208402249025466,54,1.6151767927298202,0.12209588905617207,175,0.7826221439088444,,,,,,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
W30,434,434,0.0,143.1289999485016,198.21428341030526,3.184600706462108,0.48564705481567433,43,2.017485918058857,0.17559960976965747,132,0.8320030112818556,,,,,,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,
deseas,1212,962,0.20627062706270627,15.04511101227195,83.7245778218518,2.412650308725146,0.21933184624774055,121,0.7889641092897826,0.04074193141379595,375,1.0368194767267611,3.390033728500763,467.2936240999996,49.0,0.395,962.0,LQTYUSDT,51616.77673,1213,2151,1.7732893652102226,6.5131021702757
fill,4274,3252,0.23912026204960224,21.009000062942505,20.208704258327902,111488.32039107096,5395.297975336921,427,2.9339612891391718,0.08774724254578749,1118,0.9280284144258729,0.8684956760499819,12.0,1980.0,0.0,3252.0,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
order,3575,3252,0.09034965034965035,21.009000062942505,24.160000559466702,93472.64332553491,4940.182705966598,358,2.928335284749639,0.0873060901014853,1125,0.9198084046306424,0.8684956760499819,12.0,1980.0,0.0,3252.0,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
W0.1,2925,2925,0.0,26.013999938964844,29.528889572681525,76240.25656719606,4461.623545575978,292,4.02191595630922,0.1302143369317414,954,0.8416690818747316,,,,,,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
W1,2457,2457,0.0,36.003000020980835,35.15343996747801,3951.5499269165794,251.94162139091472,246,9.800887516037715,0.3462973329726926,801,0.9324740273231885,,,,,,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
W5,2240,2240,0.0,38.99799990653992,38.558929464327434,387.8584045740575,25.91487972315854,224,1166.1118498945348,44.328921105029345,692,0.9505872177076211,,,,,,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
W30,1547,1547,0.0,60.0,55.83193406599448,7.962252849866903,0.6395435390622103,155,8.523762341642005,0.7006489484987433,148,0.9571243211816005,,,,,,XVSUSDT,30203.4005,3576,4275,1.195469798657718,
deseas,3575,3252,0.09034965034965035,28.344089422159627,27.822127943659044,5.148463462299314,0.2721047490886975,358,2.8292418992089994,0.08515017490556931,1104,1.0246837012238448,5.445753271249374,69.60555122767057,268.0,0.0,3252.0,XVSUSDT,30203.4005,3576,4275,1.195469798657718,4.26570582915193
fill,699,466,0.3333333333333333,73.87099993228912,123.38286266101788,1.623099950559931,0.19399754967184693,70,1.5060040253651674,0.13158018263093993,131,0.770121456369353,1.4068507168322968,188.85193105401663,154.0,0.065,466.0,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
order,627,466,0.2567783094098884,73.87099993228912,137.5512296651539,1.7051680580425028,0.21483098215006732,63,1.5060040253651674,0.13259626090627993,129,0.7251656209379612,1.4068507168322968,188.85193105401663,154.0,0.09,466.0,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
W0.1,423,423,0.0,95.12599992752075,203.88799290792318,2.1147877073994934,0.32631882771039405,42,1.5104580864692632,0.13048370490648362,134,0.8985162437093074,,,,,,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
W1,416,416,0.0,99.81200003623962,207.31880048089303,2.1147690084663155,0.326315942402364,42,1.5099679880139603,0.13093082960691818,133,0.958930643806547,,,,,,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
W5,387,387,0.0,113.23600006103516,222.85431782959043,2.1060744176644617,0.3372418082767342,39,1.5720256521270863,0.16757849758144522,88,0.8989115240980737,,,,,,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
W30,330,330,0.0,177.37150013446808,261.3473363637924,2.141399789867205,0.37276985588410694,33,1.569409601526703,0.16362226173894384,92,0.8788018783461597,,,,,,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,
deseas,627,466,0.2567783094098884,94.67316895023971,157.33233219657717,1.7646366449313207,0.22232331985141246,63,1.6197993540763826,0.14664974296049493,122,0.8183412076389991,1.55323337411013,248.2344388823772,139.0,0.03,466.0,PYPLBUSDT,18279.0223,628,700,1.1146496815286624,4.953909943915001
fill,531,458,0.1374764595103578,60.0,161.59141619596105,1.8292796733777934,0.2512708875550474,53,0.6351041067895344,0.050367031898554585,159,0.46490610468390486,1.7283626446073745,425.1477309773713,66.0,0.005,458.0,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
order,516,458,0.1124031007751938,60.0,166.28884108537852,1.8332436689213558,0.2542251557198338,52,0.6356919714647132,0.05025586300278143,160,0.45563763063883506,1.7283626446073745,425.1477309773713,66.0,0.02,458.0,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
W0.1,437,437,0.0,60.0,196.35021052644237,1.9100730885361554,0.287954352583169,44,1.3196045742404061,0.14398066306825322,84,0.43294061607011475,,,,,,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
W1,435,435,0.0,60.0,197.25297011506967,1.9100730885361554,0.287954352583169,44,1.3196045742404061,0.14398066306825322,84,0.43294972619818056,,,,,,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
W5,396,396,0.0,60.00099992752075,216.67939899003866,2.0750642790036022,0.3280964706453248,40,1.3206099621621705,0.1449557752317436,83,0.41670310720427634,,,,,,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
W30,355,355,0.0,63.896000146865845,241.70434366212766,2.0066454514025596,0.33444090856709324,36,1.3258817340366693,0.14553442737038244,83,0.4148356152178184,,,,,,SMHBUSDT,10982.42254,517,532,1.0290135396518376,
deseas,516,458,0.1124031007751938,187.66091740761448,236.1223791284641,2.312156917719376,0.3206384739906147,52,1.5928000199731536,0.14662912697752278,118,0.8006796411912578,1.5305910628719996,183.4408487245016,250.0,0.0,458.0,SMHBUSDT,10982.42254,517,532,1.0290135396518376,9.320730240975385
fill,253,201,0.20553359683794467,193.51900005340576,334.61554545470375,2.078360100120277,0.4156720200240554,25,1.006005905094501,0.1139077382552351,78,2.420037384939034,1.2674396825664422,416.89131035475896,66.0,0.04,201.0,GSBUSDT,4097.808548,250,254,1.016,
order,249,201,0.1927710843373494,193.51900005340576,339.99089558249017,2.078360100120277,0.4156720200240554,25,1.012793312814915,0.11467626084355516,78,2.264864789135806,1.2674396825664422,416.89131035475896,66.0,0.045,201.0,GSBUSDT,4097.808548,250,254,1.016,
W0.1,190,190,0.0,226.39849996566772,445.5670157896845,2.9773867516399477,0.6830593666439666,19,1.4549514365888,0.19442606393249434,56,2.6003916306774695,,,,,,GSBUSDT,4097.808548,250,254,1.016,
W1,188,188,0.0,234.2740000486374,450.30709042574495,2.9773867516399477,0.6830593666439666,19,1.4549514365888,0.19442606393249434,56,2.6411146702604595,,,,,,GSBUSDT,4097.808548,250,254,1.016,
W5,167,167,0.0,267.8129999637604,506.9325329343716,3.393941137938241,0.8231516352263745,17,1.461015046007132,0.19881896495813128,54,2.4673440265129893,,,,,,GSBUSDT,4097.808548,250,254,1.016,
W30,147,147,0.0,314.51799988746643,575.9029455785038,3.2113593070881574,0.8291694076693749,15,1.4993500209434745,0.21870267805728794,47,1.8780570673704828,,,,,,GSBUSDT,4097.808548,250,254,1.016,
fill,344840,154832,0.5510033638789004,0.21000003814697266,0.2505358166103365,1.3741842868336922,0.007400075659810941,34484,0.7742293118122503,0.0026733347444656943,83875,1.71733769208015,1.8818729888881456,1.623000144958496,1624.0,0.02,20000.0,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
order,170520,154832,0.09200093830635703,0.21000003814697266,0.5066547677686397,1.8156343868345481,0.013904031320056092,17052,1.9472344701376085,0.020394642204205754,9116,2.4019850445511826,1.9413311073180517,1.6100001335144043,1622.0,0.065,20000.0,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
W0.1,106211,106211,0.0,0.4249999523162842,0.8134258315985016,1.944684482112041,0.018869762944442457,10621,1.939521976937344,0.018731694105285853,10721,2.202194623717169,,,,,,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
W1,45195,45195,0.0,1.441999912261963,1.911592875314057,2.165033296271873,0.032202928101510105,4520,2.2118489681337117,0.0238704181379753,8586,1.3818872656023573,,,,,,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
W5,14028,14028,0.0,5.509500026702881,6.158714000557371,4.557715805359496,0.12167977721952691,1403,3.9510516306602312,0.07314254391256148,2918,1.1354693487777072,,,,,,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
W30,2748,2748,0.0,30.571500062942505,31.439024745203348,10.191895052500294,0.614594396214964,275,10.334295170175423,0.5786094471788475,319,1.026151940919238,,,,,,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,
deseas,170520,154832,0.09200093830635703,0.4972147407444909,0.8141051352189043,2.453061096257979,0.01878541107157944,17052,1.3705002634201235,0.005810387236566401,55635,1.056939647269708,3.14002992167585,3.19056074997382,1000.0,0.065,20000.0,PLUMEUSDT,79828877.57685,170521,344841,2.022278780912615,13.421962482728501
