series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
W30,2731,2731,0.0,30.500999927520752,31.634595020137745,5.703811414277368,0.3452103709071244,273,4.476772407698414,0.42684350113073544,110,1.0485531380844042,,,,,,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
deseas,175614,166059,0.05440910178004032,0.38494865023593133,0.6890367553386854,2.3086752151429835,0.017421607261659137,17561,2.02299285964014,0.012060654879869947,28135,1.0216257251529748,2.7614765400517767,2.5927440514333013,1000.0,0.03,20000.0,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,10.091096558660146
fill,139473,44403,0.6816373061452754,1.1590001583099365,0.6194680475801817,1.5990671287844043,0.013540237913675304,13947,0.1671110902641456,0.000821385566215944,41392,0.8482718887496106,3.608514208665025,6.6960498690605155,1000.0,0.0,20000.0,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
order,48469,44403,0.08388867110936887,1.1590001583099365,1.7825634323000408,2.640306775575294,0.03792432680314846,4847,1.628188437589358,0.0140049181429758,13516,0.8388555171963632,3.576450000704813,6.775350081920618,1000.0,0.0,20000.0,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
W0.1,37083,37083,0.0,1.562999963760376,2.3298834236752874,2.9289040917463445,0.04809891590888117,3708,1.7327194990245112,0.015751995445677375,12100,0.9108713914312682,,,,,,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
W1,26121,26121,0.0,2.5399999618530273,3.307647754685911,3.434764266307202,0.06720635625060115,2612,2.1632632602617496,0.02343220349534928,8523,0.9386164429174333,,,,,,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
W5,11717,11717,0.0,6.617000102996826,7.373698386965305,5.19022181516157,0.1516079980087497,1172,3.969138205644433,0.0641939459628029,3823,0.9723937242983146,,,,,,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
W30,2668,2668,0.0,31.634000062942505,32.37938755625549,14.813193193219186,0.906552701128692,267,14.388663609148471,0.4967518337512212,839,0.9968506014013447,,,,,,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,
deseas,48469,44403,0.08388867110936887,1.2091829681337274,1.842596811106647,2.6545091585693803,0.03812832423974703,4847,1.4817046917615544,0.011782590626042118,15814,0.9656851470089165,3.5391990799410262,6.852788910944458,1000.0,0.0,20000.0,SOLUSDT,62565618.89423,48470,139474,2.8775324943263874,2.4014568158205174
fill,90921,27036,0.7026429537730557,1.7569999694824219,0.9502091266042679,1.424481813527712,0.014939194976043657,9092,0.17219930650122395,0.001084689105998545,25203,1.4977767681835394,3.0293929156886246,9.330782718905082,1621.0,0.0,20000.0,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
order,29505,27036,0.0836807320793086,1.7569999694824219,2.9281126588709254,2.6806801311522492,0.04935532174886218,2950,1.361612085015805,0.013878114576824481,9626,1.2969333921888988,3.103043346110878,9.428956893805786,1621.0,0.0,20000.0,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
W0.1,22906,22906,0.0,2.3889999389648438,3.7716739718845127,2.96607801757994,0.06196836327758626,2291,1.633300459620861,0.01889250463867367,7474,1.1682293606882859,,,,,,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
W1,17519,17519,0.0,3.550999879837036,4.931424624694388,3.147916049073898,0.07520662349091796,1752,1.9306685743857748,0.025536514369649092,5716,1.1163719681575488,,,,,,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
W5,9491,9491,0.0,7.744999885559082,9.10268970603951,4.025340144711387,0.13066807053826474,949,3.2582896559670957,0.0633185118541353,2648,1.0542435033578768,,,,,,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
W30,2535,2535,0.0,32.66199994087219,34.07185167654967,9.838755489706557,0.6173384247351305,254,8.864470192942134,0.32944544019981886,724,1.0162130071598667,,,,,,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,
deseas,29505,27036,0.0836807320793086,1.8178255253795117,3.0301010878483736,2.649281732025721,0.04877723036329173,2950,1.3676110950091078,0.013939258972464596,9626,0.996729844364659,2.9399898126801456,9.685347750017826,1621.0,0.0,20000.0,XRPUSDT,35249119.70249,29506,90922,3.081474954246594,2.3168610254725936
fill,447551,89305,0.8004584952329455,0.12400007247924805,0.1930503316939478,0.5393894367569978,0.0025496563937473116,44755,0.22903361577678635,0.000867962639410337,69630,0.570382523994896,1.5353414148039246,3.7109999656677246,1001.0,0.335,20000.0,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
order,118193,89305,0.24441379777144162,0.12400007247924805,0.7310066501396701,1.243674967393474,0.011439749815328536,11819,0.6421043570676921,0.003269792630554762,38563,0.469365656662263,1.4844274083829698,3.6470500707626337,1000.0,0.7,20000.0,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
