market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,1.0,BTCUSDT,SOLUSDT,0.7259606481481482,0.3526388888888889,1.1954487233289468,1.160020371614487,1.1157813075995295,1.2048726850929177
binance,1.0,BTCUSDT,SPCXBUSDT,0.7259606481481482,0.12199074074074075,1.097414986430614,1.0567138106395413,0.9931503464766942,1.1308285678679413
binance,1.0,BTCUSDT,SYRUPUSDT,0.7259606481481482,0.038009259259259257,1.077095569718072,1.002977999679248,0.9242837733547329,1.0970739992055323
binance,1.0,BTCUSDT,TRUMPUSDT,0.7259606481481482,0.03940972222222222,1.1130306899217501,1.1161335508969785,1.0605705818323359,1.1859529633900683
binance,1.0,BTCUSDT,XPLUSDT,0.7259606481481482,0.7874537037037037,1.2504474202167024,1.0108016406588691,0.9660315477022365,1.056519468152607
binance,1.0,BTCUSDT,XRPUSDT,0.7259606481481482,0.22747685185185185,1.092027937116133,1.088865544921057,1.0509565000103251,1.1349859510570766
binance,1.0,BTCUSDT,XVSUSDT,0.7259606481481482,0.0328125,1.1961106205650072,1.2455781985965586,1.1138001089355718,1.420328543209166
binance,1.0,ETHUSDT,HEMIUSDT,0.48238425925925926,0.3515625,1.0677747429516893,1.0582900421119577,1.0162536631522552,1.0998991619172305
binance,1.0,ETHUSDT,LINKUSDT,0.48238425925925926,0.3200925925925926,1.1314849362437773,1.1214434806755997,1.0704033836678533,1.1692542138113062
binance,1.0,ETHUSDT,PLUMEUSDT,0.48238425925925926,0.6462847222222222,1.0120660200468434,0.9721531423701532,0.9385442228472677,1.011165937026485
binance,1.0,ETHUSDT,SOLUSDT,0.48238425925925926,0.3526388888888889,1.2028682287735732,1.2018795911131277,1.1645061300716142,1.2360084038165549
binance,1.0,ETHUSDT,SPCXBUSDT,0.48238425925925926,0.12199074074074075,1.0063684033297724,0.9751009491544187,0.9414368540342358,1.0087731499733255
binance,1.0,ETHUSDT,SYRUPUSDT,0.48238425925925926,0.038009259259259257,1.0544504448198042,1.0229658439078473,0.9426165656729082,1.1048282325314565
binance,1.0,ETHUSDT,TRUMPUSDT,0.48238425925925926,0.03940972222222222,1.1759851996920754,1.201836674842088,1.106215239644232,1.2969923927154612
binance,1.0,ETHUSDT,XPLUSDT,0.48238425925925926,0.7874537037037037,1.0029135928355135,0.9975275267320328,0.934940224113989,1.0663788502402158
binance,1.0,ETHUSDT,XRPUSDT,0.48238425925925926,0.22747685185185185,1.1594598582807862,1.1655155294870219,1.119421803109832,1.2068937367820316
binance,1.0,ETHUSDT,XVSUSDT,0.48238425925925926,0.0328125,1.1115026880384293,1.0874502711212788,1.0141846656949878,1.1683840588382153
binance,1.0,HEMIUSDT,LINKUSDT,0.3515625,0.3200925925925926,0.6786296022129067,1.0147853829930527,0.9655133322912011,1.0728960007057406
binance,1.0,HEMIUSDT,PLUMEUSDT,0.3515625,0.6462847222222222,0.6986201306998256,1.0149084421922165,0.970755767852414,1.0577747622567772
