series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,symbol,n_ticks,tie_share,diurnal_range
W30,111,111,0.0,53.0,72.4054054054054,2.9657071081344006,0.8941943377974342,11,2.4484856649846574,0.4397610073677982,31,1.4912101697750273,,,,,HHV,223,0.05405405405405406,
print,230,226,0.017391304347826087,12.0,34.208695652173915,1.6611092644744356,0.3463652249666654,23,0.8759259662896325,0.10949074578620406,64,0.594003241491086,1.4844356569078072,70.60344827586209,33.0,0.9266666666666666,SBT,231,0.017391304347826087,
second,226,226,0.0,12.0,34.8141592920354,1.6611092644744356,0.3463652249666654,23,0.8759259662896325,0.11035629874791969,63,0.5940032414910859,1.4844356569078072,70.60344827586209,33.0,0.9066666666666666,SBT,231,0.017391304347826087,
W2,223,223,0.0,12.0,35.28251121076233,1.6159722995946277,0.34452645188439773,22,0.8795181890810513,0.10993977363513141,64,0.5974019345124161,,,,,SBT,231,0.017391304347826087,
W5,186,186,0.0,14.0,42.27956989247312,1.5611860228506917,0.358160637140755,19,0.9462742062000554,0.1275955879345182,55,0.6048979591836735,,,,,SBT,231,0.017391304347826087,
W30,91,91,0.0,47.0,86.41758241758242,2.0223936080854132,0.6395370126915827,10,1.5179494479535496,0.32362790969530014,22,0.914360662758639,,,,,SBT,231,0.017391304347826087,
print,297,279,0.06060606060606061,22.0,27.21212121212121,2.7118124921982143,0.4951069579004214,30,1.9363635879461407,0.20880345561839248,86,1.3293351491025909,2.2078425914081516,39.0,76.0,0.2966666666666667,DCM,298,0.06060606060606061,
second,279,279,0.0,22.0,28.967741935483872,2.89364477547185,0.5468474613185607,28,1.93364590102214,0.2073086008423558,87,1.3299128139348986,2.2078425914081516,39.0,76.0,0.30333333333333334,DCM,298,0.06060606060606061,
W2,261,261,0.0,24.0,30.96551724137931,2.940223269985045,0.5766252241528205,26,1.931502789365813,0.20950089218756862,85,1.3145686648680661,,,,,DCM,298,0.06060606060606061,
W5,233,233,0.0,26.0,34.68669527896996,3.2131804517868465,0.6699944391639812,23,2.342670943781114,0.31029434669941897,57,1.30063495164599,,,,,DCM,298,0.06060606060606061,
W30,143,143,0.0,46.0,56.51748251748252,3.6576088358932677,0.9775370799106916,14,2.6758759873146483,0.39453638999758844,46,1.1314209866529017,,,,,DCM,298,0.06060606060606061,
print,449,394,0.12249443207126949,9.0,17.928730512249444,1.8606292714880008,0.27736623546487205,45,1.0803997190588661,0.08910986694729034,147,0.4379077264155752,1.7366194819300695,39.76034482758621,57.0,0.4033333333333333,GAS,450,0.12249443207126949,
second,394,394,0.0,9.0,20.431472081218274,1.7399793286580474,0.27861967755702804,39,1.2457605107021037,0.1227484304775685,103,0.396357328707719,1.7366194819300695,39.76034482758621,57.0,0.46,GAS,450,0.12249443207126949,
W2,366,366,0.0,11.0,21.994535519125684,1.709932964959025,0.2811112477993107,37,1.2679111834440864,0.12493100111593963,103,0.44136078782453,,,,,GAS,450,0.12249443207126949,
W5,305,305,0.0,14.0,26.39344262295082,1.6639987410483643,0.30380321537746224,30,1.4232314552044674,0.16012604904678845,79,0.557699146514936,,,,,GAS,450,0.12249443207126949,
W30,136,136,0.0,43.5,59.19117647058823,3.2714866009372194,0.8743415718663372,14,1.9813631596194745,0.32141954752960905,38,0.7564913811913594,,,,,GAS,450,0.12249443207126949,
deseas,394,394,0.0,17.00824508574566,26.628248974324396,2.3424246071868633,0.37508812777643885,39,1.5303123164193593,0.13854796724508137,122,0.9209758515987883,1.5289797731966717,26.65240963132332,130.0,0.0033333333333333335,GAS,450,0.12249443207126949,6.564222584655503
print,1063,965,0.09219190968955786,3.0,7.608654750705551,2.3150558689986767,0.2248581036125625,106,1.2794428315618056,0.07399208940893594,299,1.1717303977433462,1.466371045508588,10.0,273.0,0.0,MSN,1064,0.09219190968955786,
second,965,965,0.0,3.0,8.381347150259067,2.588967593565078,0.26423539853482114,96,1.4287717879314605,0.09054473304773832,249,1.125722655122341,1.466371045508588,10.0,273.0,0.0,MSN,1064,0.09219190968955786,
W2,713,713,0.0,7.0,11.343618513323984,2.5427533109827944,0.30176929907860717,71,1.487244544320535,0.09743262962646487,233,1.1383523367701673,,,,,MSN,1064,0.09219190968955786,
W5,498,498,0.0,12.0,16.23694779116466,3.9027638992532547,0.5519341637064056,50,2.0097024868213347,0.16747520723511122,144,1.1046330036439354,,,,,MSN,1064,0.09219190968955786,
W30,199,199,0.0,37.0,40.63316582914573,11.104344630832781,2.4830069440126903,20,4.916750381092976,0.6884827636781622,51,1.0041226070819167,,,,,MSN,1064,0.09219190968955786,
deseas,965,965,0.0,3.5408506683113026,8.744577891892934,2.626068122405598,0.26802195540343304,96,1.697137410186888,0.11683575762979515,211,1.0118124237829134,2.2321816252015845,19.487266986435515,138.0,0.006666666666666667,MSN,1064,0.09219190968955786,2.2553858424383804
print,863,780,0.09617612977983778,7.0,9.349942062572422,3.0451534045187847,0.32836733643915245,86,1.8504419703864092,0.12363785477308634,224,1.4433168200477509,1.668159465669757,9.0,349.0,0.0,BID,864,0.09617612977983778,
second,780,780,0.0,7.0,10.344871794871795,3.6377791682481626,0.41189738074970234,78,1.9500146666291112,0.13686419863256138,203,1.4578129759366434,1.668159465669757,9.0,349.0,0.0,BID,864,0.09617612977983778,
W2,701,701,0.0,9.0,11.510699001426534,3.7100377095336663,0.4434343212144083,70,2.007205294102252,0.14878395526518387,182,1.3983459092835946,,,,,BID,864,0.09617612977983778,
W5,553,553,0.0,11.0,14.591320072332731,3.6301385311269994,0.48948777968166773,55,2.2541217365020074,0.17548313918783515,165,1.2108245849730317,,,,,BID,864,0.09617612977983778,
W30,207,207,0.0,36.0,38.95169082125604,4.801334596162922,1.0477371058917535,21,4.6086077899650855,0.645334170338445,51,0.9798517590562689,,,,,BID,864,0.09617612977983778,
deseas,780,780,0.0,8.736329085762373,11.4123960475347,3.7804721876064566,0.428054183624917,78,2.0740731580580536,0.1370586121549391,229,1.0131303484773808,4.977466328278854,28.379793238376735,64.0,0.5433333333333333,BID,864,0.09617612977983778,3.2792451213503844
